texts,labels,target,target_index,
"Hey , Karen !!!! I was told that on the day of diagnosis you are a survivor and you certainly will be . God bless you and my prayers are with you as you go through treatment .",1,road,109, 
"Hi Ladies ... my last chemo was Feb 17/09 , rads finished Apr 29 and I have been on Arimidex now for 4 months now .",0,light,49,
I have just come form my consult with a lovely ps . He does not thin that this left implant has any viable tissue .,0,light,73,
"I also still question taking Tamox for stage 1 , grade 2 BC , I had lumpectomy and rads then Tamox .",0,ride,28,
Just checking in to say hello ladies .,0,lights,28,
"How is everyone doing ? I 'm 10 weeks post op from a bilateral diep , and I ended up having healing complications with my abdomen .",1,light,48,
"Hello Jodi , It 's going to be OK . I just had my 3rd chemo treatment and I only have one more to go before I start my taxol/herceptin .",0,light,118,
"I had a bilateral mastecomy in June followed by radiation . I 'm trying to decide on reconstruction , maybe next year .",1,road,112,
Just diagnosed late November . Stage I and with good prognosis . I had my lumpectomy and sentinal node biopsy on Friday -LRB- Dec 4 -RRB- . The initial prelims with the node were good and I am just waiting on the path reports now .,1,boat,189,
"swimangel172 , With regard to my comments I did not mean to imply that Arimidex causes any heart complications but that Tamoxifen is meant to give some protection as it allows some oestrogen to continue circulating and this is why it also less likely than Arimidex to cause bone loss .",1,road,98,
EastCoast Girl : I did the CMF with tissue expanders . My PS said that it was not a problem to keep them in for up to a year + -LSB- had my BMX April 14 -RSB- .,1,road,122,
So I met with the Oncologist yesterday and it was very enlightening .,1,light,32,
"And this is why I post here ... because it is where other women understand , have compassion and give good advice .",0,lights,94,
Aw Musical I 'm so sorry -- that does indeed sound like a roller coaster .,1,ride,36,
Hi Dianne - I am glad I found your post as I am sort of in the same boat .,1,boat,18,
There is light during chemo .,1,light,2,
"Hey , ladies , it is Weesa back again about my AI experience . And , I was asked about my chemo -- I did dd ACT after mastectomy , rads then the AI 's . There is a clinical trial going on , a double blind trial where half the survivors are given a placebo and half are given Femara for another five years beyond whatever they took for the first five years -- Tamoxifen or AI .",1,road,154,
"I was given a choice for the mastering , if I choose this I would not need radiation treatments . Or I could go with breast conservation , which would be a lumpectomy w/removal of 3 `` sentinel lymph nodes '' which I would had to have then follow up with radiation + hormone blockers . I choose the Breast Conservation . My surgery was Sept. 3rd .2009 m Ever thing went apparently well . I was happy to hear I had all negative nodes . I felt really good within a short time . I returned to my Doctor a week after surgery for my follow up and was very encouraged and my spirits we high .",1,road,553,
"Laura , Hi . My name is Laura too . I am a new member to this `` club '' and this is my first post . I have five kids , my youngest is 3 . I want to beat this too .",1,road,159,
"Trina , my sternum lit up like a christmas tree light ... turned out it was inflammation from all the chemo ... I also had my shoulder bones light up .",1,light,10,
I know it was mentioned in this forum about supraclavicular being tough to treat .,1,light,63,
Susie congratulations on finishing chemo ! Woohoo for light at the end of the tunnel .,1,light,8,
"Hello ladies , I 'm celebrating my five-year post-mastectomy status by contemplating reconstruction .",1,road,29,
"The headache went away after a left over MX pain pilll and a good nap , Alexcis and I enjoyed a great bike ride , then watched a movie .",0,ride,23,
Hi Honey ... ... Sounds like your plan is taking shape . Once you know what your plans are you will be able to take things on one at a time .,1,road,88,
By all means get a second opinion and be sure to find out how much of a benefit it will give you ; if it 's substancial do n't be afraid to have chemo .,1,boat,76,
"danismom - the wait is the absolute worst part . I also did n't discuss bc with anyone for a long time . The lump was found 12/26 and did n't tell anyone until just before my appointment with the surgeon on 2 / 25 , the day before my biopsy . Then I only told my dh . And I waited for what seemed like forever . I had surgery on 3/24 and started chemo on 4/24 . The months , I still feel was too long . I just wanted to get it over . STill feel that way .",0,boat,440,
The `` standard of care is radiation '' . As I understand it the doctor must tell you that is recommended or risk being guilty of malpractice .,1,road,39,
Hi all -- I guess I posted wrong so I 'm going to try again .,1,road,36,
Hello girls ... latest update for me ... Onco score of 30 ... chemo starts this week .,1,light,47,
"I had a bad out come originally , but now that I have had a second ps reposition and replace my implants -LRB- silicone -RRB- I am quite content with the outcome .",1,light,83,
Hi there ! I know it 's a really rough time right now . Look at my profile . I also had DCIS with 1 healthy breast . I had too many people I knew that had reoccurance when they left what was being said was a `` healthy breast '' .,1,light,146,
Had my first visit with the oncologist this afternoon . He has me starting chemo next week ! I figured it be the end of June at the earliest so I was surprised at this news . But I 'm glad to get it started because I 'll be through that much sooner .,1,road,209,
"Oh missmocky , I am so sorry to hear of your diagnosis .",1,ride,38,
I went through chemo during hot summer months so the heat really bothered me .,0,ride,25,
I feel as if I 've won the Jackpot . My organs are still clear . A few mediastinal glands popping up as usual .,1,ride,66,
oh I 'm so green with envy ! wish I was joining you gals at the beach .,1,train,37,
"I 'm in the club ladies . Took my 1st little white pill on Friday , so have had 3 days .",1,road,69,
"Like everyone above has said , everyone reacts differently , but I think it is likely that if you your chemo on Thursdy you will be able to work on Monday .",1,boat,58,
"I am asking my fellow travelers on this road to help me out with some practical information ... I am relocating from Plymouth , MA to Bradenton , FL for the winter months for the first time .",1,ride,167,
Kim & Lisa I hope you both get the oncotype test to be sure chemo is helpful .,0,rides,72,
"It definitely is a very personal decision , one that only you can decide on . I had DCIS x 2 rt. breast May '07 so mast . was recommended . I had previous bx 's over the yrs . which were negative , recall mammos for additional views , etc. . I too was on the fence , 45 yo at the time . I decided to have a MRI to help further evaluate my other breast .",1,road,288,
LRAllen : I am in the SAME BOAT .,1,boat,7,
"Along with all this radiation crap I 'm waiting impatiently for my hair to come back . Finished taxotere tx June 3 and I 've only got a few eyebrow and eyelash hairs , little teeny hairs on my head and it 's starting to get cool here .",1,boat,86,
"roja , i 'm so sorry to hear this news .",1,boat,17,
Another thing to consider is cosmetic outcome .,1,road,38,
Oh -- I feel really safe here -- I have a sign on the wall that says `` Welcome to my little corner of the institution !! '' I have a BAD case of the Herceptin sneezes today . It 's either that or I 'm having a bad case of hay fever . Who knows ??? I spent the morning running around town putting flyers up for the Relay for Life . I put an item in the weekly paper and on the local tv channel . ??? How did I end up running the team ??? I was just innocently sitting at my Herceptin infusion last week and this Relay lady dropped off the info for me to bring back to town and give to the lady who captained the event last year .,0,road,418,
"I had my port put on on Feb 25 , A week later we went on a vacation before the start of my chemo on March 24 .",0,ride,82,
"Good evening Girls , Well I went to Springfield this afternoon . What a mess . There are places that are totally destroyed . Some parts are still without power . A lady at the mall said she is still without heat and it is down to 28 at night and low 40 's in the day .",1,train,204,
"i have so much to say `` it sux '' about , but just havent got the energy to waste right now.will be praying for you sessna .",1,light,116,
"Thanks , Tender . Yes , this whole recurrence thing has been super stressful .",1,road,63,
"Annie , I am in the same boat as you ... Thinking the chemo would take care of the underarm hair .",1,boat,7,
"Ah yes , percentages indeed . Every day that 's how I think of myself - what percent of normal do I feel ? This 3rd round of AC for me has brought me down a bit more than before , but nothing I can complain about in light of what some of you are going through .",1,light,48,
"HI everyone , I have chemo tommorow , so please keep me in your thoughts and prayers .",1,road,72,
Hi I know how you feel . I was dianosed in march and had a double mastectomy in may .,1,road,60,
"I 'm Stage 1 , Grade 3 , ER + , Oncotype 22 - had lumpectomy in January , 2009 , sailed thru 33 rads with no probs , finished in April and started immediately on Tamoxifen .",1,light,74,
"Agentmo , It looks like we had simular diagnosis and I have also heard the 50 % prognosis , however like many have said , the statistics are outdated since we are getting advanced treatments . I am three years out now and I am just now starting to get beyond thinking about BC everyday . It takes awhile . I know now that the 50 % prognosis is not accurate , but I did finally just tell myself that even if it is correct , what the heck , Everyone has a 50/50 chance in life .",1,road,324,
"Hi Lynn - I had a lumpectomy & axillary lymph node dissection on 3/13 -LRB- a Thursday -RRB- , plus insertion of the medi-port -LRB- for upcoming chemo -RRB- , went home Friday . I was knitting in my hospital room Friday morning when my surgeon 's partner came to check on me .",1,road,258,
On,1,light,24,
"MOTC , there was a study on flying without compression that was posted on BC.org -- it came from the San Antonio breast conference -- they used the dragon boat women .",0,boat,29,
"Thanks for the update , Chelev . Your posts have been very helpful . I had my 3rd CT tx yesterday and while I 'm tired so far so good .",1,road,122,
"Maybe I 'm nuts , or I 'm just itchy . I 've had an intense itch over my mast scar all day , that wo n't go away . It 's not just things healing as I 'm 8 weeks post op , and it 's only in that one spot , not on my other mast scar .",0,ride,116,
"I would say that if you are concerned to definately get it checked out , at least for your piece of mind . I 'm 24 and was recently diagnosed with stage 2 breast cancer , and a friend of a friend of mine was 21 when she was diagnosed .",1,road,155,
"Hi Erica ... good to hear from you . I also tried cutting out the Aciphex and started to get gastro problems again , so I 'm back on it . My onc says I need it for at least three months after the end of chemo .",1,road,149,
"brenda , they dont want to do a lumpectomy ? yes second opinions are great .",1,road,44,
Thanks everyone . I have been out of the loop .,0,road,37,
"Maryiz , thanks for bumping , and thanks Stephanie for posting . I have been staying up at night while I still have the energy researching about cancer , and researchers of cancer .",1,light,122,
"SwimAngelWarrior : No , my remaining breast shows no issues ; however I did have to get an implant in it to match the recon on the right side .",1,road,71,
"Yes , I have been down this road too .",1,road,7,
"Hi Carol , looks like you and I are in the same boat .",1,boat,12,
"Lorena , It actual sounds like your tumor is invasive like mine and also aggresive . I also had two areas in the same breast with DCIS .",1,road,112,
Today was THE single worst day I 've had since dx .,0,ride,36,
In answer to your question about having a double mastectomy the first round instead of waiting down the road and doing it later-both yes and no .,1,road,18,
"Hi there Teri , I did exactly what your friend has done , surrounded myself with happy upbeat positive people , some of us just dont deal with emotional people when we get hit with a biggy like breast cancer .",1,ride,122,
My prayers are with you and your family .,1,light,30,
"So sorry you are having to join the breast cancer survivor 's club , but you are fortunate that yours was found early .",1,road,101,
ye,1,road,276,
"Hi , I am starting rads on 12/29 ! Thought I might need chemo first but just got my second opinion today and it is no chemo for me ! -LRB- what a relief -RRB- .",1,light,62,
"Hi Deborah , I 'm sorry to hear of your current findings on ultrasound , as well as your history in the past of breast cancer . Beesie answered you well , echogenic findings on breast ultrasound can be benign or not benign , and we 're hoping this is nothing too .",1,road,136,
My head is spinning from all the information about what is good for us and not good for us . I too have cut back on wine fearing recurrence .,1,boat,126,
"Hi , I 'm a 5 year survivor but not in a great space these days . I made a decision to have a bilat mast due to family history , 1 lymph node involved so due to history I had very aggressive , dose dense chemo . That ended in June of 05 - got it out of the way and went every other week , cut the time in half . Later , I had implants put in -LRB- replaced expanders -RRB- .",1,ride,370,
JENNI - My husband just left for his road trip to Oregon ... my first chemo went almost perfect .,0,road,8,
Hi Ladies ! I 'm pretty sure I 'm not alone in this . I got my diagnosis just before Christmas last year . I had my mastectomy right after New Year 's . Whose naughty list did I get on ?? Thinking back to the Holidays last year is just a blur .,0,ride,161,
"As Kerry Mac stated earlier , being positive is a great thing . Even though we all have our moments , we are strong women - I am stronger than I ever thought I could be and was only d/x in January ! Family and friends are supportive , but until they know what it feels like to be on this roller coaster ride - that is where it ends .",1,ride,63,
"blue dolphin - wow you do have a familiar story , but both breasts , I 'm so sorry . I guess we ca n't look back - we did what we did with the info we had at the time - radiation was no guarantee it would n't return .",1,road,96,
"My sister is in the same boat as you , diagnosed with DCIS ... a husband who is highly educated , an accountant but who does n't want to work but wants to be a millionaire , but just ca n't figure out how ... he has many hair-brained ideas and provides absolutely no support for my sister and her two children .",1,boat,6,
"Hi Laura - I also have DCIS , high grade with comedo necrosis . My surgeon did not believe she could get clear margins and leave a significant breast so she felt my only choice was a mastectomy .",1,road,131,
I 'm in the same boat ladies .,1,boat,5,
I am so glad I found this site and I am going to acutally leave the house this weekend for a over night slumber party at my friends house I told her we would probaly end up being the new golden girls if you ever watched that show ha .,1,road,113,
"I am meeting with my med onc on Thursday to ask a lot of questions about the next step , after finishing rads . I have been doing a lot of research on all of the AI 's , and frankly , the side effects are kind of frightening .",0,boat,123,
hang in there Granny - My understanding is they take as many nodes as they need to - the C ones .,1,light,74,
"Hi , I have learned much after the fact , that Vitamin B-12 helps prevent and lessen neuropathy . I had both feet and hands neuropathy pretty bad after the four runs of Taxol .",1,ride,160,
"Has anyone had the TRAM Flap reconstruction ? My surgery is happening March 5th - I have ALL the same feeling you guys have been describing : Is it really cancer ? Shoudl I just wait and see what happens ? Will I call myself a `` cancer survivor '' , a person with cancer or a person who USE to have cancer ? It 's been a wild and crazy ride since being dx in January .",1,ride,71,
"If you are big breasted , you may be able to have the two lumpectomies if you really want to save your breast .",1,road,59,
"I too will say that this is the worst part - not knowing what kind of cancer you have , what the plan is , the prognosis ? I found all this out about a month ago and was a wreck until all the diagnostic tests were done the the results known and a treatment plan in place .",1,road,177,
Hi : Just reading some posts here and saw this Can not advise re this Gina but sure do send out the bright light and healing on you starting rads ... Lets get going .,1,light,23,
